relative_time,tess_flux,r_flux,g_flux,tess_uncert,r_uncert,g_uncert,mwebv,max_light,max_uncert
-30.0,,,,,,,0.071,10.200000000000005,3.844376845905372
-29.5,,,,,,,0.071,10.200000000000005,3.844376845905372
-29.0,,-86.7653027051577,-6.744784364719066,,46.85374519679058,24.2594262015986,0.071,10.200000000000005,3.844376845905372
-28.5,,,,,,,0.071,10.200000000000005,3.844376845905372
-28.0,,,,,,,0.071,10.200000000000005,3.844376845905372
-27.5,,,,,,,0.071,10.200000000000005,3.844376845905372
-27.0,,-103.55967376309937,-29.530477026001332,,55.816122243982655,30.3606717166235,0.071,10.200000000000005,3.844376845905372
-26.5,,,,,,,0.071,10.200000000000005,3.844376845905372
-26.0,,,,,,,0.071,10.200000000000005,3.844376845905372
-25.5,,,,,,,0.071,10.200000000000005,3.844376845905372
-25.0,,-79.37561060737565,-34.353792877748305,,50.2919513726872,22.6522518033179,0.071,10.200000000000005,3.844376845905372
-24.5,,,,,,,0.071,10.200000000000005,3.844376845905372
-24.0,,,,,,,0.071,10.200000000000005,3.844376845905372
-23.5,,,,,,,0.071,10.200000000000005,3.844376845905372
-23.0,,-44.449370786731386,38.14097309520268,,42.888284054373415,24.4514047030638,0.071,10.200000000000005,3.844376845905372
-22.5,,,,,,,0.071,10.200000000000005,3.844376845905372
-22.0,,,,,,,0.071,10.200000000000005,3.844376845905372
-21.5,,,,,,,0.071,10.200000000000005,3.844376845905372
-21.0,,-82.36522843068505,-12.674073865337695,,39.8601260612072,21.9833104054085,0.071,10.200000000000005,3.844376845905372
-20.5,,,,,,,0.071,10.200000000000005,3.844376845905372
-20.0,,,,,,,0.071,10.200000000000005,3.844376845905372
-19.5,,,,,,,0.071,10.200000000000005,3.844376845905372
-19.0,,-90.14457705056249,-21.23312127105144,,43.64637055735843,21.5913032757022,0.071,10.200000000000005,3.844376845905372
-18.5,,,,,,,0.071,10.200000000000005,3.844376845905372
-18.0,,,,,,,0.071,10.200000000000005,3.844376845905372
-17.5,,,,,,,0.071,10.200000000000005,3.844376845905372
-17.0,,-44.84573670043859,-15.597515561146949,,44.51294206652175,20.8001533088033,0.071,10.200000000000005,3.844376845905372
-16.5,,,,,,,0.071,10.200000000000005,3.844376845905372
-16.0,,,,,,,0.071,10.200000000000005,3.844376845905372
-15.5,,,,,,,0.071,10.200000000000005,3.844376845905372
-15.0,,,,,,,0.071,10.200000000000005,3.844376845905372
-14.5,,,,,,,0.071,10.200000000000005,3.844376845905372
-14.0,,-104.39922207324585,-50.07445722958543,,47.687933134182266,25.517607911392,0.071,10.200000000000005,3.844376845905372
-13.5,,,,,,,0.071,10.200000000000005,3.844376845905372
-13.0,,,,,,,0.071,10.200000000000005,3.844376845905372
-12.5,,,,,,,0.071,10.200000000000005,3.844376845905372
-12.0,,,,,,,0.071,10.200000000000005,3.844376845905372
-11.5,,,,,,,0.071,10.200000000000005,3.844376845905372
-11.0,,-116.3786719800558,23.570133249793823,,155.77539911843917,65.2845404708279,0.071,10.200000000000005,3.844376845905372
-10.5,,,,,,,0.071,10.200000000000005,3.844376845905372
