relative_time,tess_flux,r_flux,g_flux,tess_uncert,r_uncert,g_uncert,mwebv,max_light,max_uncert
-30.0,,,,,,,0.209,3.899999999999999,5.881821335455729
-29.5,,,,,,,0.209,3.899999999999999,5.881821335455729
-29.0,,-38.47372213591182,-37.657120294619766,,27.1655663841244,24.0205202045972,0.209,3.899999999999999,5.881821335455729
-28.5,,,,,,,0.209,3.899999999999999,5.881821335455729
-28.0,,,,,,,0.209,3.899999999999999,5.881821335455729
-27.5,,,,,,,0.209,3.899999999999999,5.881821335455729
-27.0,,-61.44128957465262,11.852068207415057,,23.5789280846612,27.6257422169046,0.209,3.899999999999999,5.881821335455729
-26.5,,,,,,,0.209,3.899999999999999,5.881821335455729
-26.0,,,,,,,0.209,3.899999999999999,5.881821335455729
-25.5,,,,,,,0.209,3.899999999999999,5.881821335455729
-25.0,,,,,,,0.209,3.899999999999999,5.881821335455729
-24.5,-79.39654999293533,,,280.26369553249714,,,0.209,3.899999999999999,5.881821335455729
-24.0,-46.69354627866611,-18.839556148246963,-2.3569835598852524,281.32895750047044,21.8164229603368,22.1574299163897,0.209,3.899999999999999,5.881821335455729
-23.5,-84.11887573362158,,,280.10001871068005,,,0.209,3.899999999999999,5.881821335455729
-23.0,-149.3342153427322,,,276.76679412146945,,,0.209,3.899999999999999,5.881821335455729
-22.5,5.501935062893687,,,280.262460463803,,,0.209,3.899999999999999,5.881821335455729
-22.0,-61.18973498950253,,,281.7083995007103,,,0.209,3.899999999999999,5.881821335455729
-21.5,-101.3765730550803,,,280.07232493685734,,,0.209,3.899999999999999,5.881821335455729
-21.0,-185.24924920814502,-100.25842381893959,-98.05616828199304,278.8050999788737,45.449913375477,78.2831488237774,0.209,3.899999999999999,5.881821335455729
-20.5,216.35849957944228,,,280.3115228610437,,,0.209,3.899999999999999,5.881821335455729
-20.0,-90.70037276567736,,,282.56839632988346,,,0.209,3.899999999999999,5.881821335455729
-19.5,-38.16851058005727,,,278.535070200755,,,0.209,3.899999999999999,5.881821335455729
-19.0,-157.00021397397015,-7.384992934958635,-19.144280638689022,279.8067122963049,65.0746906082345,101.547336504073,0.209,3.899999999999999,5.881821335455729
-18.5,-50.894252419189804,,,280.12130069233075,,,0.209,3.899999999999999,5.881821335455729
-18.0,55.36098233968516,,,282.2627904241904,,,0.209,3.899999999999999,5.881821335455729
-17.5,8.165879636866444,,,284.73236463820575,,,0.209,3.899999999999999,5.881821335455729
-17.0,132.35087324411555,,,288.03037670682517,,,0.209,3.899999999999999,5.881821335455729
-16.5,72.45394392440676,,,289.7704203751836,,,0.209,3.899999999999999,5.881821335455729
-16.0,-22.10573182703174,,,291.9452081862568,,,0.209,3.899999999999999,5.881821335455729
-15.5,168.6328400738791,,,293.62200757575755,,,0.209,3.899999999999999,5.881821335455729
-15.0,,,,,,,0.209,3.899999999999999,5.881821335455729
-14.5,,,,,,,0.209,3.899999999999999,5.881821335455729
-14.0,,122.84962729410842,-72.49245604940239,,49.928719016274,48.6832494604579,0.209,3.899999999999999,5.881821335455729
-13.5,,,,,,,0.209,3.899999999999999,5.881821335455729
-13.0,,,,,,,0.209,3.899999999999999,5.881821335455729
-12.5,,,,,,,0.209,3.899999999999999,5.881821335455729
-12.0,,,,,,,0.209,3.899999999999999,5.881821335455729
-11.5,-48.699605209416994,,,273.62534811484807,,,0.209,3.899999999999999,5.881821335455729
-11.0,-141.3254591365018,7.5374745210171765,-7.510313307985147,273.7460010728023,28.7159536154233,27.7424125050433,0.209,3.899999999999999,5.881821335455729
-10.5,-152.3193308821839,,,270.1571729816823,,,0.209,3.899999999999999,5.881821335455729
-10.0,-188.37235374293613,,,268.0607583914853,,,0.209,3.899999999999999,5.881821335455729
-9.5,-112.05726751595382,,,269.28984728662635,,,0.209,3.899999999999999,5.881821335455729
-9.0,-124.80308181396273,176.21036767624278,28.941335692091474,271.12669600416353,24.405735463662,27.2349887922467,0.209,3.899999999999999,5.881821335455729
-8.5,-7.963076023109991,,,270.74867846579775,,,0.209,3.899999999999999,5.881821335455729
-8.0,2.5526567714050166,,,272.9935868506902,,,0.209,3.899999999999999,5.881821335455729
-7.5,50.413342199312126,,,271.12017027974167,,,0.209,3.899999999999999,5.881821335455729
-7.0,194.22481024276783,,,272.4398399089456,,,0.209,3.899999999999999,5.881821335455729
-6.5,243.23654689351412,,,272.07073993663994,,,0.209,3.899999999999999,5.881821335455729
-6.0,267.42140384788934,,,272.8299820092556,,,0.209,3.899999999999999,5.881821335455729
-5.5,252.19444162818704,,,270.3645365918673,,,0.209,3.899999999999999,5.881821335455729
-5.0,275.5680307769797,,,273.283530551611,,,0.209,3.899999999999999,5.881821335455729
-4.5,469.5339956762237,,,273.13025977444767,,,0.209,3.899999999999999,5.881821335455729
-4.0,439.66644841067813,,138.03707898734189,274.59591038964726,,23.7712651191793,0.209,3.899999999999999,5.881821335455729
-3.5,365.6903040191163,,,273.1560735207317,,,0.209,3.899999999999999,5.881821335455729
-3.0,564.8746982968299,,,272.2136537801445,,,0.209,3.899999999999999,5.881821335455729
-2.5,604.5349995788043,,,272.44895550790125,,,0.209,3.899999999999999,5.881821335455729
-2.0,688.9612357633737,,,273.6403531687603,,,0.209,3.899999999999999,5.881821335455729
-1.5,611.9705771236148,,,272.4199551650003,,,0.209,3.899999999999999,5.881821335455729
-1.0,798.5985107235583,,,275.5373234313319,,,0.209,3.899999999999999,5.881821335455729
-0.5,,,,,,,0.209,3.899999999999999,5.881821335455729
0.0,,754.6232505813265,470.99913277023893,,27.7784996375853,27.2243191377601,0.209,3.899999999999999,5.881821335455729
0.5,,,,,,,0.209,3.899999999999999,5.881821335455729
1.0,,,,,,,0.209,3.899999999999999,5.881821335455729
1.5,,,,,,,0.209,3.899999999999999,5.881821335455729
2.0,,,,,,,0.209,3.899999999999999,5.881821335455729
2.5,,,,,,,0.209,3.899999999999999,5.881821335455729
3.0,,,,,,,0.209,3.899999999999999,5.881821335455729
3.5,,,,,,,0.209,3.899999999999999,5.881821335455729
4.0,,,,,,,0.209,3.899999999999999,5.881821335455729
4.5,,,,,,,0.209,3.899999999999999,5.881821335455729
5.0,,750.3669589365024,512.3969170411189,,37.1005971426586,35.3339438854411,0.209,3.899999999999999,5.881821335455729
5.5,,,,,,,0.209,3.899999999999999,5.881821335455729
6.0,,,,,,,0.209,3.899999999999999,5.881821335455729
6.5,,,,,,,0.209,3.899999999999999,5.881821335455729
7.0,,,,,,,0.209,3.899999999999999,5.881821335455729
7.5,,,,,,,0.209,3.899999999999999,5.881821335455729
8.0,,,,,,,0.209,3.899999999999999,5.881821335455729
8.5,,,,,,,0.209,3.899999999999999,5.881821335455729
9.0,,,,,,,0.209,3.899999999999999,5.881821335455729
9.5,,,,,,,0.209,3.899999999999999,5.881821335455729
10.0,,,,,,,0.209,3.899999999999999,5.881821335455729
10.5,,,,,,,0.209,3.899999999999999,5.881821335455729
11.0,,,,,,,0.209,3.899999999999999,5.881821335455729
11.5,,,,,,,0.209,3.899999999999999,5.881821335455729
12.0,,,,,,,0.209,3.899999999999999,5.881821335455729
12.5,,,,,,,0.209,3.899999999999999,5.881821335455729
13.0,,,,,,,0.209,3.899999999999999,5.881821335455729
13.5,,,,,,,0.209,3.899999999999999,5.881821335455729
14.0,,,,,,,0.209,3.899999999999999,5.881821335455729
14.5,,,,,,,0.209,3.899999999999999,5.881821335455729
15.0,,,,,,,0.209,3.899999999999999,5.881821335455729
15.5,,,,,,,0.209,3.899999999999999,5.881821335455729
16.0,,,,,,,0.209,3.899999999999999,5.881821335455729
16.5,,,,,,,0.209,3.899999999999999,5.881821335455729
17.0,,,,,,,0.209,3.899999999999999,5.881821335455729
17.5,,,,,,,0.209,3.899999999999999,5.881821335455729
18.0,,,,,,,0.209,3.899999999999999,5.881821335455729
18.5,,,,,,,0.209,3.899999999999999,5.881821335455729
19.0,,544.607436299483,344.8350656032347,,23.8242669082433,22.179964665802,0.209,3.899999999999999,5.881821335455729
19.5,,,,,,,0.209,3.899999999999999,5.881821335455729
20.0,,,,,,,0.209,3.899999999999999,5.881821335455729
20.5,,,,,,,0.209,3.899999999999999,5.881821335455729
21.0,,,,,,,0.209,3.899999999999999,5.881821335455729
21.5,,,,,,,0.209,3.899999999999999,5.881821335455729
22.0,,,,,,,0.209,3.899999999999999,5.881821335455729
22.5,,,,,,,0.209,3.899999999999999,5.881821335455729
23.0,,481.6859547938759,263.5730742730979,,24.2361038717472,17.9939254660331,0.209,3.899999999999999,5.881821335455729
23.5,,,,,,,0.209,3.899999999999999,5.881821335455729
24.0,,,,,,,0.209,3.899999999999999,5.881821335455729
24.5,,,,,,,0.209,3.899999999999999,5.881821335455729
25.0,,495.69967712910324,214.1640157719458,,25.6495025266004,21.9674289687099,0.209,3.899999999999999,5.881821335455729
25.5,,,,,,,0.209,3.899999999999999,5.881821335455729
26.0,,,,,,,0.209,3.899999999999999,5.881821335455729
26.5,,,,,,,0.209,3.899999999999999,5.881821335455729
27.0,,530.957830886787,145.64721570297698,,26.4913520449017,25.3778947748801,0.209,3.899999999999999,5.881821335455729
27.5,,,,,,,0.209,3.899999999999999,5.881821335455729
28.0,,,,,,,0.209,3.899999999999999,5.881821335455729
28.5,,,,,,,0.209,3.899999999999999,5.881821335455729
29.0,,476.8852715999809,50.987087577075776,,22.4495257053105,27.242903406477,0.209,3.899999999999999,5.881821335455729
29.5,,,,,,,0.209,3.899999999999999,5.881821335455729
30.0,,,,,,,0.209,3.899999999999999,5.881821335455729
30.5,,,,,,,0.209,3.899999999999999,5.881821335455729
31.0,,,,,,,0.209,3.899999999999999,5.881821335455729
31.5,,,,,,,0.209,3.899999999999999,5.881821335455729
32.0,,358.1679571878422,215.69580021245602,,36.5148352498996,37.6607320478342,0.209,3.899999999999999,5.881821335455729
32.5,,,,,,,0.209,3.899999999999999,5.881821335455729
33.0,,,,,,,0.209,3.899999999999999,5.881821335455729
33.5,,,,,,,0.209,3.899999999999999,5.881821335455729
34.0,,547.8209279220714,35.01949474481612,,40.3630832323891,60.9006100197572,0.209,3.899999999999999,5.881821335455729
34.5,,,,,,,0.209,3.899999999999999,5.881821335455729
35.0,,,,,,,0.209,3.899999999999999,5.881821335455729
35.5,,,,,,,0.209,3.899999999999999,5.881821335455729
36.0,,,,,,,0.209,3.899999999999999,5.881821335455729
36.5,,,,,,,0.209,3.899999999999999,5.881821335455729
37.0,,,,,,,0.209,3.899999999999999,5.881821335455729
37.5,,,,,,,0.209,3.899999999999999,5.881821335455729
38.0,,,,,,,0.209,3.899999999999999,5.881821335455729
38.5,,,,,,,0.209,3.899999999999999,5.881821335455729
39.0,,,,,,,0.209,3.899999999999999,5.881821335455729
39.5,,,,,,,0.209,3.899999999999999,5.881821335455729
40.0,,,,,,,0.209,3.899999999999999,5.881821335455729
40.5,,,,,,,0.209,3.899999999999999,5.881821335455729
41.0,,,,,,,0.209,3.899999999999999,5.881821335455729
