relative_time,tess_flux,r_flux,g_flux,tess_uncert,r_uncert,g_uncert,mwebv,max_light,max_uncert
-30.0,,,,,,,0.0522,10.1,2.2781473954851026
-29.5,,,,,,,0.0522,10.1,2.2781473954851026
-29.0,,252.4320947260455,-90.34458279177154,,81.2449887612832,50.5781995595029,0.0522,10.1,2.2781473954851026
-28.5,,,,,,,0.0522,10.1,2.2781473954851026
-28.0,,,,,,,0.0522,10.1,2.2781473954851026
-27.5,,,,,,,0.0522,10.1,2.2781473954851026
-27.0,,,-7.920644502147986,,,32.9900623406253,0.0522,10.1,2.2781473954851026
-26.5,,,,,,,0.0522,10.1,2.2781473954851026
-26.0,,,,,,,0.0522,10.1,2.2781473954851026
-25.5,,,,,,,0.0522,10.1,2.2781473954851026
-25.0,,-5.538391136768412,16.23530484691022,,25.8540490307957,29.8392952841266,0.0522,10.1,2.2781473954851026
-24.5,,,,,,,0.0522,10.1,2.2781473954851026
-24.0,,,,,,,0.0522,10.1,2.2781473954851026
-23.5,,,,,,,0.0522,10.1,2.2781473954851026
-23.0,-729.6655814572424,,,264.85117981121107,,,0.0522,10.1,2.2781473954851026
-22.5,-340.8452940376594,,,251.20085823638598,,,0.0522,10.1,2.2781473954851026
-22.0,-273.9401306956926,-84.9210423806058,-60.44857497454106,258.61919222753374,28.6917946286201,28.1250541043012,0.0522,10.1,2.2781473954851026
-21.5,-347.6178626569722,,,249.06054200502564,,,0.0522,10.1,2.2781473954851026
-21.0,-325.6443984492785,,,250.62303685328342,,,0.0522,10.1,2.2781473954851026
-20.5,-347.24064643844076,,,242.8159456847109,,,0.0522,10.1,2.2781473954851026
-20.0,-135.71802561745722,52.642276239157994,-63.09089732997407,250.35796399264672,29.5674428055272,33.9309278111334,0.0522,10.1,2.2781473954851026
-19.5,21.563882109386007,,,243.4040144470584,,,0.0522,10.1,2.2781473954851026
-19.0,-21.343169542019748,,,240.7937939576455,,,0.0522,10.1,2.2781473954851026
-18.5,-59.32222162159943,,,239.44155257227385,,,0.0522,10.1,2.2781473954851026
